Temperature,Dewpoint,WindDirection,Humidity,pressure,WindSpeed
63,63,VAR,100,26.97,1
68,63,VAR,83,26.97,1
75,50,NE,41,26.97,8
75,46,NE,36,26.94,10
77,46,NE,34,26.94,10
77,46,NE,34,26.91,9
77,48,ENE,36,26.91,9
79,48,NNE,34,26.89,12
79,48,ENE,34,26.89,9
81,45,NE,28,26.86,10
81,41,ENE,24,26.83,12
81,39,NE,23,26.83,13
81,43,NE,26,26.83,9
81,43,VAR,26,26.83,3
81,45,NE,28,26.83,9
81,43,ENE,26,26.83,8
79,41,ENE,26,26.83,8
77,43,ENE,29,26.83,6
73,43,ENE,33,26.86,5
72,45,VAR,38,26.86,3
70,45,NE,40,26.86,3
68,45,VAR,43,26.89,2
68,45,VAR,43,26.89,1
66,46,VAR,49,26.89,1
64,46,VAR,52,26.91,2
64,46,VAR,52,26.91,2
63,48,VAR,59,26.91,2
64,46,VAR,52,26.91,1
63,48,VAR,59,26.91,2
61,52,SE,72,26.89,3
59,52,VAR,77,26.89,2
55,52,VAR,88,26.86,1
55,50,VAR,82,26.83,3
63,57,VAR,82,26.89,1
70,57,VAR,64,26.91,1
70,57,VAR,64,26.91,2
73,50,E,44,26.91,9
75,54,E,47,26.91,9
75,50,E,41,26.89,9
77,48,E,36,26.89,10
79,46,E,32,26.86,13
79,48,E,34,26.86,10
81,48,E,32,26.83,9
81,48,E,32,26.83,8
81,50,ENE,34,26.81,7
81,48,E,32,26.81,8
81,48,ENE,32,26.81,8
81,48,E,32,26.78,7
81,50,NE,34,26.78,7
81,50,ENE,34,26.78,8
81,50,ESE,34,26.81,8
79,52,E,39,26.81,7
77,52,E,41,26.81,5
75,54,E,47,26.83,6
73,54,E,50,26.83,5
72,54,E,53,26.83,6
70,55,SE,60,26.86,7
68,55,SE,64,26.86,6
68,54,SE,60,26.89,5
68,54,SE,60,26.89,5
66,54,ESE,64,26.89,5
66,54,VAR,64,26.91,3
64,54,VAR,68,26.89,2
64,54,VAR,68,26.89,2
63,55,VAR,77,26.89,1
63,55,VAR,77,26.89,1
59,54,VAR,82,26.86,1
59,54,VAR,82,26.83,1
59,54,VAR,82,26.83,1
59,54,VAR,82,26.83,2
57,54,VAR,88,26.83,1
55,54,VAR,94,26.83,1
57,54,VAR,88,26.86,1
57,54,VAR,88,26.86,1
57,54,VAR,88,26.89,1
61,55,VAR,82,26.89,1
70,54,ESE,56,26.91,8
72,54,ESE,53,26.91,9
72,52,E,50,26.91,9
75,52,E,44,26.91,8
75,52,E,44,26.89,9
75,50,ENE,41,26.89,8
75,52,NE,44,26.86,9
77,50,E,39,26.86,9
79,50,ENE,36,26.83,8
79,50,SE,36,26.83,6
79,50,E,36,26.81,8
79,50,E,36,26.81,9
79,50,ENE,36,26.81,6
79,50,E,36,26.81,6
77,50,E,39,26.81,7
77,50,ENE,39,26.81,7
75,50,E,41,26.81,7
75,50,E,41,26.83,6
72,52,ENE,50,26.83,6
72,52,E,50,26.83,6
70,54,E,56,26.86,7
70,54,E,56,26.86,7
68,54,ESE,60,26.86,6
66,55,ESE,68,26.89,6
66,57,ESE,73,26.89,7
64,57,ESE,77,26.89,6
63,57,SE,82,26.89,6
63,57,SE,82,26.89,6
61,59,ESE,94,26.89,3
61,57,VAR,88,26.86,3
61,57,VAR,88,26.86,1
59,55,VAR,88,26.86,1
57,57,VAR,100,26.86,1
55,55,VAR,100,26.86,1
55,54,VAR,94,26.86,1
55,55,VAR,100,26.89,1
64,55,ESE,73,26.94,3
66,55,ESE,68,26.94,6
70,55,SE,60,26.94,7
72,57,SE,60,26.94,7
72,57,SE,60,26.94,8
72,57,E,60,26.94,7
72,59,E,64,26.91,7
75,59,SE,57,26.91,8
75,59,SE,57,26.89,8
75,57,ESE,53,26.86,7
75,57,ESE,53,26.86,7
75,57,E,53,26.86,7
75,57,ESE,53,26.83,8
77,57,ESE,50,26.83,8
75,57,ESE,53,26.83,9
75,57,SE,53,26.83,8
75,57,ESE,53,26.83,7
75,57,SE,53,26.83,8
72,57,SE,60,26.86,7
70,57,SSE,64,26.86,5
68,59,SE,73,26.89,5
68,59,SSE,73,26.89,5
68,59,SSE,73,26.89,7
66,59,SE,78,26.91,5
66,59,SSE,78,26.91,5
64,59,SE,83,26.91,5
64,59,SSE,83,26.91,6
64,61,E,88,26.91,5
63,61,ESE,94,26.91,6
63,61,SE,94,26.91,6
63,61,ESE,94,26.91,5
63,61,E,94,26.91,3
63,63,ESE,100,26.89,7
63,63,E,100,26.89,5
63,63,ESE,100,26.89,7
63,63,E,100,26.89,7
63,61,ESE,94,26.89,6
63,61,SE,94,26.89,7
61,61,E,100,26.89,3
61,61,E,100,26.89,5
61,61,VAR,100,26.89,3
61,61,SE,100,26.91,6
61,59,ESE,94,26.94,5
61,59,ESE,94,26.94,6
63,61,VAR,94,26.94,3
66,61,ESE,83,26.97,6
66,59,ESE,78,26.97,7
68,61,E,78,26.97,7
72,61,ESE,69,26.97,6
72,61,E,69,26.97,6
73,61,ESE,65,26.94,7
75,59,SE,57,26.94,8
77,57,VAR,50,26.91,5
79,57,SE,47,26.89,6
77,57,VAR,50,26.89,6
79,59,ESE,51,26.86,8
79,59,SE,51,26.86,7
79,59,ESE,51,26.83,7
81,61,VAR,51,26.83,6
79,59,E,51,26.83,5
79,61,SE,54,26.83,8
79,61,SE,54,26.83,9
79,61,SE,54,26.83,8
77,61,ESE,57,26.83,8
75,63,ESE,65,26.86,7
75,63,ESE,65,26.86,6
73,63,SE,69,26.89,8
72,63,ESE,73,26.91,9
70,63,SE,78,26.91,8
70,63,ESE,78,26.91,7
70,63,ESE,78,26.91,6
70,63,ESE,78,26.91,3
70,63,ESE,78,26.91,5
70,63,ESE,78,26.91,5
70,63,SE,78,26.91,6
70,63,SE,78,26.89,7
70,63,SE,78,26.89,7
68,63,ESE,83,26.89,7
68,63,ESE,83,26.89,6
68,63,ESE,83,26.86,7
68,63,ESE,83,26.86,6
68,63,ESE,83,26.86,6
66,64,ESE,94,26.86,7
66,64,E,94,26.86,3
68,64,ESE,88,26.86,8
68,64,ESE,88,26.86,8
66,64,ESE,94,26.86,8
66,64,E,94,26.89,5
66,64,E,94,26.91,3
68,64,ESE,88,26.94,7
70,63,ESE,78,26.94,7
70,63,ESE,78,26.94,6
72,64,VAR,78,26.94,5
77,64,SE,65,26.94,8
77,63,SE,61,26.91,8
79,63,ESE,57,26.91,8
79,63,SE,57,26.89,6
79,61,SE,54,26.89,10
79,61,SE,54,26.86,12
79,61,SSE,54,26.86,13
81,61,SSE,51,26.83,10
82,61,SE,48,26.83,13
81,61,ESE,51,26.83,6
81,61,SSE,51,26.83,10
81,61,SSE,51,26.83,10
79,61,SSE,54,26.83,9
79,63,SSE,57,26.83,10
77,63,SSE,61,26.83,8
77,63,SSE,61,26.86,8
75,63,SSE,65,26.86,13
73,63,SE,69,26.89,10
73,64,SE,73,26.89,9
73,66,SSE,78,26.91,8
72,64,SE,78,26.91,7
70,64,SE,83,26.91,6
70,64,SE,83,26.94,5
72,64,SE,78,26.94,5
70,64,SSE,83,26.94,6
70,64,SSE,83,26.91,8
70,64,SE,83,26.91,6
70,66,SSE,88,26.91,5
70,66,SSE,88,26.91,6
70,66,SSE,88,26.89,10
70,66,SSE,88,26.89,12
70,66,SSE,88,26.89,9
68,64,SSE,88,26.86,7
68,64,SSE,88,26.86,7
68,64,SSE,88,26.86,5
66,64,S,94,26.86,3
66,64,VAR,94,26.86,3
66,64,VAR,94,26.89,2
66,64,VAR,94,26.89,2
66,64,VAR,94,26.89,2
68,64,ESE,88,26.91,3
68,64,VAR,88,26.91,3
68,64,SE,88,26.94,8
70,64,SSE,83,26.94,7
70,64,S,83,26.97,6
72,64,SSE,78,26.97,7
73,64,SE,73,26.97,7
75,64,SSE,69,26.97,9
77,63,S,61,26.94,10
77,63,S,61,26.94,10
77,63,S,61,26.91,10
79,63,SSE,57,26.91,10
81,59,S,48,26.89,9
79,59,S,51,26.89,9
81,59,SSE,48,26.86,10
81,59,S,48,26.86,8
81,57,S,45,26.86,10
81,57,S,45,26.86,10
81,59,S,48,26.86,9
81,57,S,45,26.86,10
79,57,S,47,26.86,10
77,59,VAR,54,26.89,6
75,61,S,61,26.89,6
73,61,S,65,26.91,5
73,61,SSE,65,26.91,5
72,63,SSE,73,26.94,6
72,63,S,73,26.94,5
72,63,SSE,73,26.97,6
70,64,SSE,83,26.97,5
70,64,SSE,83,26.97,7
70,66,SSE,88,26.97,7
70,66,SSE,88,26.97,6
68,66,SSE,94,26.97,6
68,66,SE,94,26.97,3
68,66,SE,94,26.97,5
70,66,SSE,88,26.94,7
70,66,SSE,88,26.94,3
68,66,SSE,94,26.94,5
68,66,SSE,94,26.91,6
68,66,SSE,94,26.91,6
68,66,SE,94,26.91,5
68,66,SE,94,26.91,9
68,66,SE,94,26.91,6
68,66,SE,94,26.91,5
70,66,SE,88,26.94,7
68,66,SE,94,26.94,5
70,66,SSE,88,26.94,6
70,66,S,88,26.97,6
70,66,S,88,26.97,7
73,66,SSE,78,26.99,8
73,64,SSE,73,26.99,9
73,66,SE,78,26.99,7
75,66,SE,73,26.99,7
77,64,S,65,26.99,10
79,64,SSE,61,26.99,10
79,64,SSE,61,26.97,10
79,64,S,61,26.97,10
81,64,SSE,58,26.94,10
82,63,S,51,26.91,8
81,63,SSE,54,26.91,6
82,61,S,48,26.89,7
84,61,SSE,45,26.89,8
82,63,SSW,51,26.86,13
82,63,SSE,51,26.86,12
82,61,S,48,26.86,10
82,63,ESE,51,26.89,9
81,63,ESE,54,26.89,9
81,61,SSE,51,26.89,10
79,61,SSE,54,26.89,7
77,61,SSE,57,26.91,6
75,63,SSE,65,26.91,5
73,63,SSE,69,26.94,5
72,63,S,73,26.94,5
72,64,S,78,26.97,5
72,64,SSE,78,26.97,7
72,68,SSE,88,26.97,9
72,68,SSE,88,26.97,7
70,68,SSE,94,26.97,7
70,68,SSE,94,26.97,7
70,68,SSE,94,26.97,7
70,68,SSE,94,26.97,7
70,68,SSE,94,26.94,6
68,66,VAR,94,26.94,2
68,68,VAR,100,26.91,2
68,68,S,100,26.91,5
68,68,VAR,100,26.91,3
68,66,VAR,94,26.91,2
68,66,SSE,94,26.91,3
68,66,SSE,94,26.94,5
66,66,SSE,100,26.94,5
66,66,VAR,100,26.94,1
70,66,S,88,26.99,5
70,66,S,88,27.02,7
73,64,SW,73,27.02,7
75,64,VAR,69,27.02,5
75,63,SSW,65,27.02,6
79,63,VAR,57,27.02,5
79,63,VAR,57,26.99,5
79,63,VAR,57,26.99,3
79,63,VAR,57,26.97,5
81,63,SSE,54,26.97,7
79,63,ESE,57,26.94,6
81,63,E,54,26.91,5
81,63,VAR,54,26.91,3
82,61,ESE,48,26.89,6
79,64,S,61,26.89,7
77,64,S,65,26.89,9
79,63,S,57,26.91,6
79,64,S,61,26.91,6
77,64,S,65,26.91,9
75,64,SSE,69,26.94,7
73,66,S,78,26.94,3
73,66,S,78,26.97,3
72,66,VAR,83,26.97,3
72,64,SSE,78,26.99,5
70,64,VAR,83,26.99,2
70,66,VAR,88,26.99,2
70,66,VAR,88,26.99,1
70,66,VAR,88,26.99,2
70,66,S,88,26.99,5
68,66,SSE,94,26.99,5
68,66,SSE,94,26.99,7
70,68,SSE,94,26.99,6
70,68,S,94,26.97,6
70,68,S,94,26.97,7
70,68,S,94,26.97,6
70,68,SSE,94,26.94,7
70,68,S,94,26.94,5
70,68,VAR,94,26.94,2
68,68,VAR,100,26.94,1
68,68,VAR,100,26.94,3
68,66,VAR,94,26.97,1
68,66,VAR,94,26.97,1
70,68,VAR,94,26.99,2
70,68,SSW,94,26.99,5
72,66,S,83,27.02,5
73,66,WSW,78,27.02,5
75,66,VAR,73,27.02,2
75,66,E,73,27.02,5
77,63,E,61,26.99,5
79,66,ESE,65,26.99,7
81,64,ESE,58,26.97,6
81,64,E,58,26.94,5
81,64,SSE,58,26.94,9
82,64,SSE,54,26.91,7
82,64,SSE,54,26.91,6
82,63,VAR,51,26.91,5
82,63,VAR,51,26.89,5
81,63,E,54,26.89,7
81,64,ENE,58,26.91,6
79,64,E,61,26.91,7
77,64,ENE,65,26.91,3
77,64,VAR,65,26.94,2
77,64,VAR,65,26.94,2
77,66,SE,69,26.97,3
77,66,VAR,69,26.97,3
77,66,SSE,69,26.97,9
75,66,S,73,26.99,5
75,66,S,73,26.99,6
73,66,SSE,78,26.99,8
73,66,SE,78,26.99,9
72,66,SSE,83,26.99,8
72,68,SSE,88,26.99,6
70,68,SSE,94,26.99,6
70,68,SSE,94,26.99,8
72,66,SSE,83,26.99,9
72,66,SSE,83,26.97,9
70,66,SSE,88,26.97,3
70,66,SSE,88,26.97,5
70,66,SSE,88,26.97,8
70,66,SSE,88,26.97,6
70,66,SSE,88,26.97,8
70,66,S,88,26.97,5
70,66,S,88,26.97,6
68,66,VAR,94,26.97,2
68,66,VAR,94,26.97,1
68,66,VAR,94,26.99,1
66,66,VAR,100,26.99,1
68,66,SSE,94,27.02,5
70,66,SE,88,27.02,6
72,66,SE,83,27.02,8
72,66,SE,83,27.04,8
73,64,SSE,73,27.04,7
75,64,SSE,69,27.04,7
77,64,SE,65,27.04,8
77,63,SE,61,27.04,8
79,63,SE,57,27.02,8
79,63,E,57,26.99,6
81,61,SSE,51,26.99,9
81,61,ESE,51,26.97,10
82,61,ESE,48,26.97,10
82,61,ESE,48,26.94,10
82,61,SE,48,26.94,12
82,61,ESE,48,26.94,9
82,59,SE,45,26.94,12
81,61,SE,51,26.94,10
81,61,SE,51,26.94,10
81,61,SE,51,26.94,9
79,61,SE,54,26.94,9
77,63,SE,61,26.97,7
75,63,SE,65,26.97,6
75,63,SE,65,26.97,6
73,63,SE,69,26.99,7
73,63,SE,69,26.99,7
72,64,SSE,78,26.99,6
72,64,SE,78,26.99,7
70,64,SSE,83,27.02,6
70,64,SE,83,27.02,5
70,64,SSE,83,27.02,5
70,64,SSE,83,27.02,6
70,66,SE,88,27.02,10
70,64,SSE,83,26.99,14
70,64,SE,83,26.99,12
70,66,SE,88,26.99,8
68,64,SE,88,26.97,7
68,64,SSE,88,26.97,7
68,66,SE,94,26.97,6
66,64,SE,94,26.97,6
66,64,SE,94,26.97,5
66,64,E,94,26.99,5
66,64,E,94,26.99,5
66,64,ESE,94,27.02,6
66,64,ESE,94,27.02,5
66,64,ESE,94,27.04,7
68,64,ESE,88,27.04,6
68,64,ESE,88,27.04,7
72,64,ESE,78,27.07,12
72,64,ESE,78,27.07,13
73,64,ESE,73,27.07,10
75,63,E,65,27.04,10
77,63,ESE,61,27.04,12
77,61,ESE,57,27.02,13
79,59,SE,51,27.02,12
77,59,ESE,54,26.99,10
77,59,ESE,54,26.99,10
79,59,SE,51,26.97,13
79,59,ESE,51,26.97,10
79,59,ESE,51,26.97,12
77,59,ESE,54,26.97,10
79,57,ESE,47,26.97,10
79,57,SE,47,26.97,13
77,57,SE,50,26.97,13
75,57,SE,53,26.99,10
73,57,SE,57,26.99,8
72,57,SE,60,27.02,8
70,54,SE,56,27.02,8
68,54,SE,60,27.04,7
68,54,ESE,60,27.04,5
66,54,SE,64,27.04,5
64,54,SE,68,27.07,5
64,55,SE,73,27.07,6
63,55,SE,77,27.07,6
63,57,SE,82,27.07,5
61,57,SE,88,27.04,5
61,57,SSE,88,27.04,5
61,55,SE,82,27.04,3
61,57,VAR,88,27.04,2
59,55,SSE,88,27.04,3
59,55,SE,88,27.02,5
59,55,VAR,88,27.02,1
57,55,VAR,94,27.02,1
57,55,ESE,94,27.02,3
59,59,SE,100,27.02,6
59,59,ESE,100,27.02,7
59,59,E,100,27.02,6
59,59,ESE,100,27.04,8
59,59,SE,100,27.04,9
59,59,ESE,100,27.04,6
61,59,SE,94,27.07,8
61,59,SE,94,27.07,9
64,59,SE,83,27.1,9
64,59,ESE,83,27.1,8
64,59,ESE,83,27.1,8
66,59,ESE,78,27.1,8
68,55,ESE,64,27.1,13
72,55,ESE,57,27.1,13
73,54,ESE,50,27.1,12
72,55,ESE,57,27.1,10
77,55,SE,47,27.07,13
77,54,ESE,44,27.04,10
77,52,ESE,41,27.02,12
79,54,ESE,42,27.02,12
79,52,ESE,39,26.99,12
81,52,SE,37,26.99,13
81,52,SE,37,26.99,10
81,52,ESE,37,26.99,10
81,50,SE,34,26.99,12
79,50,SE,36,26.99,12
79,50,SE,36,26.99,10
77,52,SE,41,27.02,9
73,52,SE,47,27.02,7
72,52,SE,50,27.04,5
70,54,ESE,56,27.04,3
68,54,ESE,60,27.04,3
66,54,SE,64,27.07,3
66,54,VAR,64,27.07,3
66,54,ESE,64,27.07,3
64,54,VAR,68,27.07,3
63,52,ESE,68,27.07,3
63,52,SE,68,27.07,6
61,52,VAR,72,27.07,1
61,54,VAR,77,27.07,1
59,52,VAR,77,27.04,1
55,54,VAR,94,27.02,1
54,52,VAR,94,27.02,2
54,52,VAR,94,27.04,1
54,52,VAR,94,27.07,1
61,57,VAR,88,27.07,1
64,55,ESE,73,27.1,5
64,55,SE,73,27.1,8
66,57,ESE,73,27.1,12
66,59,ESE,78,27.12,8
70,61,ESE,73,27.1,8
72,61,E,69,27.1,8
73,61,E,65,27.1,8
77,61,SE,57,27.07,10
77,61,ESE,57,27.04,8
77,59,E,54,27.02,7
79,57,SE,47,27.02,10
81,57,SE,45,26.99,10
79,55,ESE,44,26.99,8
81,55,SSE,42,26.97,7
81,55,E,42,26.97,9
79,55,ESE,44,26.97,8
82,54,SE,37,26.97,12
81,54,ESE,39,26.97,6
81,55,SE,42,26.97,8
77,57,ESE,50,26.99,7
75,57,SSE,53,26.99,5
75,57,SSE,53,27.02,3
73,57,S,57,27.02,6
72,57,SSE,60,27.04,3
72,57,SSE,60,27.04,5
70,59,SE,68,27.04,3
70,59,SE,68,27.04,3
68,61,SSE,78,27.07,6
68,61,SE,78,27.07,5
66,63,SSE,88,27.07,3
66,63,SSE,88,27.07,6
66,63,VAR,88,27.07,3
66,64,SE,94,27.04,7
68,64,SSE,88,27.04,8
68,64,SSE,88,27.04,6
66,64,SSE,94,27.04,6
68,64,SSE,88,27.02,6
66,63,SSE,88,27.02,8
66,63,SSE,88,27.02,8
66,63,S,88,27.02,6
66,63,SSE,88,26.99,6
66,63,ESE,88,27.02,6
66,63,SSE,88,27.02,5
66,63,S,88,27.02,5
66,63,SSE,88,27.04,5
66,63,VAR,88,27.04,3
66,63,VAR,88,27.04,3
68,63,SE,83,27.04,3
68,63,SSE,83,27.07,7
70,61,SE,73,27.07,7
72,63,SE,73,27.07,7
72,63,SE,73,27.07,8
75,61,SSE,61,27.07,9
75,61,SE,61,27.07,8
77,61,ESE,57,27.04,7
79,61,SE,54,27.04,6
81,57,SE,45,27.02,6
79,57,E,47,26.99,5
82,57,E,42,26.97,6
79,55,E,44,26.97,6
82,54,SSE,37,26.97,7
82,55,ESE,39,26.94,7
82,55,E,39,26.94,6
81,54,E,39,26.94,8
81,55,ESE,42,26.94,7
81,55,SE,42,26.94,7
77,55,SE,47,26.97,6
77,57,SSE,50,26.97,6
75,57,SSE,53,26.97,5
75,59,SE,57,26.97,8
73,59,SE,61,26.99,7
73,61,SE,65,26.99,8
72,61,SSE,69,26.99,7
72,61,SSE,69,27.02,7
72,61,SSE,69,26.99,8
70,61,S,73,26.99,6
68,61,S,78,26.99,6
68,63,SSE,83,26.99,6
68,64,SE,88,26.99,9
68,64,SSE,88,26.99,9
66,63,S,88,26.97,5
66,63,SSE,88,26.97,5
64,63,S,94,26.97,3
66,63,S,88,26.97,5
66,64,SSE,94,26.94,6
66,63,VAR,88,26.97,2
66,63,VAR,88,26.97,1
64,63,VAR,94,26.97,3
64,63,VAR,94,26.97,1
64,63,VAR,94,26.97,1
63,63,VAR,100,26.99,3
66,64,VAR,94,26.99,1
66,64,SSE,94,27.02,5
68,64,S,88,27.02,7
72,63,SSE,73,27.02,8
73,63,SE,69,27.02,8
75,61,SSE,61,27.02,7
75,61,SE,61,26.99,7
77,61,VAR,57,26.99,5
79,59,VAR,51,26.97,5
79,59,E,51,26.94,6
77,59,ENE,54,26.94,6
79,59,E,51,26.91,6
81,57,SSE,45,26.91,6
82,57,SE,42,26.89,8
81,57,VAR,45,26.89,5
81,55,ESE,42,26.89,6
79,57,SE,47,26.89,8
79,57,SE,47,26.89,7
77,59,E,54,26.89,6
77,59,ESE,54,26.89,9
75,59,ESE,57,26.89,8
75,59,ESE,57,26.91,6
75,61,ESE,61,26.91,6
73,61,SSE,65,26.94,12
73,61,SSE,65,26.94,9
72,61,SSE,69,26.97,10
70,61,SSE,73,26.97,9
70,61,ESE,73,26.97,6
70,61,SE,73,26.97,10
70,63,SE,78,26.97,12
68,63,SE,83,26.97,8
68,63,SE,83,26.97,8
68,63,SE,83,26.97,10
68,63,SE,83,26.97,9
66,63,SSE,88,26.94,6
66,63,SE,88,26.94,7
64,63,SE,94,26.94,6
64,63,VAR,94,26.94,3
64,63,SE,94,26.94,5
63,63,SSE,100,26.97,3
63,61,VAR,94,26.97,2
63,61,VAR,94,26.99,1
64,63,VAR,94,26.99,1
66,63,VAR,88,27.02,1
68,61,ESE,78,27.02,6
70,55,ESE,60,27.02,9
73,55,ESE,53,27.02,9
73,54,ESE,50,27.02,8
73,54,ESE,50,27.02,8
75,54,E,47,27.02,9
77,54,ESE,44,26.99,7
77,54,VAR,44,26.99,6
77,54,SSE,44,26.97,5
77,54,SE,44,26.97,8
79,54,ESE,42,26.94,10
79,52,ESE,39,26.94,5
79,52,ENE,39,26.94,3
81,52,SSE,37,26.91,6
81,52,ESE,37,26.91,6
79,50,ENE,36,26.91,6
79,52,SSE,39,26.91,5
79,52,SE,39,26.94,5
77,52,ESE,41,26.94,7
75,55,ESE,50,26.94,5
73,55,VAR,53,26.97,3
72,55,SE,57,26.97,5
70,55,SSE,60,26.99,5
70,55,SE,60,26.99,5
68,55,SE,64,26.99,6
68,57,VAR,68,27.02,3
66,57,ESE,73,27.02,3
66,57,VAR,73,27.02,2
64,57,SE,77,26.99,3
64,57,SE,77,26.99,6
63,57,ESE,82,26.99,5
63,57,SE,82,26.99,5
63,57,VAR,82,26.97,2
63,57,ESE,82,26.97,3
61,57,VAR,88,26.97,3
61,57,SSE,88,26.97,3
59,57,VAR,94,26.94,2
59,57,VAR,94,26.94,1
61,57,VAR,88,26.94,2
59,55,VAR,88,26.94,1
57,55,VAR,94,26.99,2
63,59,SSE,88,27.02,7
64,57,SSE,77,27.02,7
68,57,SSE,68,27.02,6
70,55,SE,60,27.02,7
72,52,ESE,50,27.02,8
72,52,ESE,50,27.02,9
73,52,ESE,47,27.02,7
73,50,E,44,26.99,7
75,50,SE,41,26.97,7
75,46,NNE,36,26.97,8
77,46,VAR,34,26.94,8
77,46,ENE,34,26.91,8
79,46,ENE,32,26.91,7
79,45,NE,30,26.89,9
79,45,ENE,30,26.89,7
79,43,NE,28,26.89,5
77,45,ENE,32,26.89,7
75,45,E,34,26.91,6
73,45,E,36,26.91,5
72,46,E,41,26.91,5
70,48,VAR,46,26.94,3
68,48,VAR,49,26.94,3
68,48,VAR,49,26.94,2
64,48,VAR,56,26.94,1
66,46,VAR,49,26.97,1
64,48,VAR,56,26.97,3
57,52,VAR,82,26.94,2
57,50,VAR,77,26.94,1
57,52,VAR,82,26.94,1
55,52,VAR,88,26.91,3
55,52,VAR,88,26.91,2
55,52,SSW,88,26.91,5
55,52,VAR,88,26.94,1
52,50,VAR,94,26.97,1
54,52,VAR,94,26.99,1
63,55,ESE,77,27.02,5
66,54,ESE,64,27.02,5
68,52,ESE,56,27.02,6
70,50,ESE,49,27.02,6
